# ALPHA = 0.05
# NUMBER_OF_TESTS = 15481

# _SET1_  VARIABLE = Curated_gene_sets:abe_vegfa_targets_2hr (set)
# _SET1_  NGENES = 31
# _SET1_  P-VALUE = 1.38923e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET1_   ENSG00000157873     1    2487078    2496821     36      12  513725        1.939     0.026252
_SET1_   ENSG00000162374     1   50513686   50669458    359      60  502562       1.4942     0.067568
_SET1_   ENSG00000162407     1   56960419   57110974    665      71  518251      0.57277       0.2834
_SET1_   ENSG00000158485     1  158297741  158301321     19      11  497353      -1.2941      0.90218
_SET1_   ENSG00000073756     1  186640923  186649559     24      10  526176       2.3695     0.008907
_SET1_   ENSG00000159166     1  201342372  201368736    138      31  519953       1.1853      0.11794
_SET1_   ENSG00000188389     2  242792033  242801060     44      12  520801       2.1961     0.014044
_SET1_   ENSG00000163932     3   53190025   53226733    106      23  521206       1.1765       0.1197
_SET1_   ENSG00000073111     3  127317066  127341276     52      25  504902      0.65575      0.25599
_SET1_   ENSG00000113070     5  139712428  139726216     43      15  523649       1.8457     0.032465
_SET1_   ENSG00000124762     6   36644305   36655116     52      16  518381     -0.41262      0.66006
_SET1_   ENSG00000183696     7   48128225   48148330     67      21  512552      0.28673      0.38716
_SET1_   ENSG00000257923     7  101458959  101927249   1662     112  516561        5.154   1.2747e-07
_SET1_   ENSG00000130227     8   21777180   21864096    289      29  518627       1.2466      0.10627
_SET1_   ENSG00000107263     9  134452157  134615461    675      56  516783       1.9206     0.027391
_SET1_   ENSG00000110619    11    3022152    3078843    244      38  519291       2.9304    0.0016924
_SET1_   ENSG00000123358    12   52416616   52453291    148      46  513481     -0.27751       0.6093
_SET1_   ENSG00000140465    15   75011883   75017951     13       8  502538       1.8495     0.032192
_SET1_   ENSG00000118898    16    4932508    5010742    478      77  519761     -0.47472      0.68251
_SET1_   ENSG00000051108    16   56965960   56977798     43      12  513923      0.40768      0.34176
_SET1_   ENSG00000140948    16   87439852   87525651    512      31  511719     -0.37861      0.64751
_SET1_   ENSG00000173812    17   39845137   39848920      7       4  511807      0.75793      0.22425
_SET1_   ENSG00000108849    17   42018172   42019836      6       3  509194       1.4655     0.071396
_SET1_   ENSG00000197632    18   61538926   61571124    158      10  524615        1.836     0.033177
_SET1_   ENSG00000167657    19    3958451    3971121     48      14  512348       1.5098     0.065543
_SET1_   ENSG00000130164    19   11200038   11244492    235      48  517798      0.33481      0.36888
_SET1_   ENSG00000130203    19   45409011   45412650      9       5  521503       0.4128      0.33988
_SET1_   ENSG00000117877    19   45909467   45914024     25       9  521521      0.17344      0.43115
_SET1_   ENSG00000105146    19   57742377   57746916     19       6  527386        1.344     0.089479
_SET1_   ENSG00000101425    20   36888551   36965907    341      75  517943     0.080553       0.4679
_SET1_   ENSG00000159200    21   35885440   35987441    612      41  521613       1.8013     0.035828

# _SET2_  VARIABLE = GO_bp:go_cell_cell_signaling (set)
# _SET2_  NGENES = 1555
# _SET2_  P-VALUE = 2.731e-06
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET2_   ENSG00000184163     1    1177826    1182102     20       7  517120        1.143      0.12653
_SET2_   ENSG00000107404     1    1270656    1284730     73      25  496732     -0.65512       0.7438
_SET2_   ENSG00000008130     1    1682671    1711896    112      25  510636    -0.067273      0.52682
_SET2_   ENSG00000078369     1    1716729    1822495    290      50  503175     -0.34481      0.63488
_SET2_   ENSG00000187730     1    1950780    1962192     55      19  505903     -0.11839      0.54712
_SET2_   ENSG00000067606     1    1981909    2116834    711      66  504046      -1.1016      0.86468
_SET2_   ENSG00000157933     1    2160134    2241558    371      83  514095      0.26235      0.39652
_SET2_   ENSG00000158109     1    3541566    3546691     22       8  503657     -0.33454      0.63101
_SET2_   ENSG00000131697     1    5922871    6052533    580      38  515507       1.3591     0.087062
_SET2_   ENSG00000158286     1    6265535    6281359     57      12  511563      -0.3732       0.6455
_SET2_   ENSG00000171680     1    6526152    6580121    237      57  507324       0.1139      0.45466
_SET2_   ENSG00000049247     1    7903143    7913572     46      16  527245       1.0486      0.14717
_SET2_   ENSG00000116288     1    8014351    8045565    104      26  517849      -1.0467      0.85239
_SET2_   ENSG00000171603     1    9789084    9884584    400      24  512036       -1.131      0.87098
_SET2_   ENSG00000178585     1    9908334    9970394    210      50  493030     -0.24251      0.59581
_SET2_   ENSG00000054523     1   10270863   10441661    688      30  521708      -1.5457      0.93892
_SET2_   ENSG00000241563     1   10509776   10511959      5       3  525960       1.3873     0.082671
_SET2_   ENSG00000120948     1   11072414   11085796     42      14  497281      0.45796      0.32349
_SET2_   ENSG00000198793     1   11166592   11322564    473      21  515860       1.3494     0.088609
_SET2_   ENSG00000116670     1   11734537   11751707     80      20  522016      0.20946      0.41705
_SET2_   ENSG00000162490     1   11751786   11785914    148      41  510173       1.1592      0.12318
_SET2_   ENSG00000175206     1   11905766   11908402     17       7  519958     -0.44663      0.67243
_SET2_   ENSG00000142632     1   16524349   16539104     72      14  521019      0.17521      0.43046
_SET2_   ENSG00000158748     1   19991780   20006055     59      16  517368    -0.059346      0.52366
_SET2_   ENSG00000158828     1   20959948   20978004     87      16  520822     -0.35957      0.64042
_SET2_   ENSG00000070831     1   22379120   22419437    153      33  508681    -0.069345      0.52764
_SET2_   ENSG00000162552     1   22443798   22470462    129      33  517893      0.59777        0.275
_SET2_   ENSG00000173372     1   22962999   22966101     10       5  509131      0.20539      0.41863
_SET2_   ENSG00000133216     1   23037332   23241818    806     117  509070     0.049826      0.48013
_SET2_   ENSG00000179546     1   23516993   23521222     14       5  515802      -0.3463      0.63544
_SET2_   ENSG00000188822     1   24197016   24285549    314      29  504215       0.8733      0.19125
_SET2_   ENSG00000158055     1   24645812   24690972    161      45  514724      0.39913       0.3449
