# MEAN_SAMPLE_SIZE = 41137
# TOTAL_GENES = 17563
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_glyco...1         SET      57      -0.3503    -0.019924      0.10619      0.99951 Curated_gene_sets:kegg_glycolysis_gluconeogenesis
Curated_gene_sets:kegg_citra...          SET      29      -0.2131   -0.0086524      0.15012      0.92212 Curated_gene_sets:kegg_citrate_cycle_tca_cycle
Curated_gene_sets:kegg_pento...2         SET      22     0.037746    0.0013351      0.19126      0.42178 Curated_gene_sets:kegg_pentose_phosphate_pathway
Curated_gene_sets:kegg_pento...1         SET      29     0.030475    0.0012374      0.22139      0.44526 Curated_gene_sets:kegg_pentose_and_glucuronate_interconversions
Curated_gene_sets:kegg_fruct...          SET      32    -0.042091   -0.0017951      0.13716      0.62053 Curated_gene_sets:kegg_fructose_and_mannose_metabolism
Curated_gene_sets:kegg_galac...          SET      26      -0.1377   -0.0052943      0.17576      0.78331 Curated_gene_sets:kegg_galactose_metabolism
Curated_gene_sets:kegg_ascor...          SET      26     -0.32415    -0.012463      0.21954      0.93009 Curated_gene_sets:kegg_ascorbate_and_aldarate_metabolism
Curated_gene_sets:kegg_fatty...          SET      39     0.082329    0.0038754      0.12976       0.2629 Curated_gene_sets:kegg_fatty_acid_metabolism
Curated_gene_sets:kegg_stero...1         SET      15   -0.0053131  -0.00015521      0.20921      0.51013 Curated_gene_sets:kegg_steroid_biosynthesis
Curated_gene_sets:kegg_prima...1         SET      15      0.17145    0.0050086      0.22267      0.22066 Curated_gene_sets:kegg_primary_bile_acid_biosynthesis
Curated_gene_sets:kegg_stero...2         SET      53     -0.11132   -0.0061063      0.14495      0.77875 Curated_gene_sets:kegg_steroid_hormone_biosynthesis
Curated_gene_sets:kegg_oxida...          SET     105     -0.11919   -0.0091883     0.079672      0.93266 Curated_gene_sets:kegg_oxidative_phosphorylation
Curated_gene_sets:kegg_purin...          SET     148     0.023892    0.0021841     0.069095      0.36475 Curated_gene_sets:kegg_purine_metabolism
Curated_gene_sets:kegg_pyrim...          SET      92     0.081698    0.0058977     0.086273      0.17183 Curated_gene_sets:kegg_pyrimidine_metabolism
Curated_gene_sets:kegg_alani...          SET      31    -0.071627   -0.0030067      0.15043      0.68301 Curated_gene_sets:kegg_alanine_aspartate_and_glutamate_metabolism
Curated_gene_sets:kegg_glyci...          SET      27      0.24287    0.0095156      0.16686     0.072772 Curated_gene_sets:kegg_glycine_serine_and_threonine_metabolism
Curated_gene_sets:kegg_cyste...          SET      33   -0.0039007  -0.00016893      0.14968       0.5104 Curated_gene_sets:kegg_cysteine_and_methionine_metabolism
Curated_gene_sets:kegg_valin...2         SET      42      0.13874    0.0067769      0.12085      0.12548 Curated_gene_sets:kegg_valine_leucine_and_isoleucine_degradation
Curated_gene_sets:kegg_valin...1         SET       8      0.17213    0.0036729      0.27272      0.26398 Curated_gene_sets:kegg_valine_leucine_and_isoleucine_biosynthesis
Curated_gene_sets:kegg_lysin...          SET      41     0.029152    0.0014069      0.11366      0.39879 Curated_gene_sets:kegg_lysine_degradation
Curated_gene_sets:kegg_argin...          SET      45     -0.14258   -0.0072082      0.11334      0.89579 Curated_gene_sets:kegg_arginine_and_proline_metabolism
Curated_gene_sets:kegg_histi...          SET      26     -0.25527   -0.0098147      0.15832      0.94655 Curated_gene_sets:kegg_histidine_metabolism
Curated_gene_sets:kegg_tyros...          SET      35      -0.1996   -0.0089016      0.16086      0.89265 Curated_gene_sets:kegg_tyrosine_metabolism
Curated_gene_sets:kegg_pheny...          SET      14     -0.38855    -0.010966      0.26152      0.93131 Curated_gene_sets:kegg_phenylalanine_metabolism
Curated_gene_sets:kegg_trypt...          SET      37     0.056018    0.0025685      0.13668      0.34096 Curated_gene_sets:kegg_tryptophan_metabolism
Curated_gene_sets:kegg_beta_...          SET      20     0.061499    0.0020742      0.17288      0.36102 Curated_gene_sets:kegg_beta_alanine_metabolism
Curated_gene_sets:kegg_tauri...          SET      10    -0.086928   -0.0020737      0.24257      0.63996 Curated_gene_sets:kegg_taurine_and_hypotaurine_metabolism
Curated_gene_sets:kegg_selen...          SET      24    -0.063516   -0.0023464      0.17126      0.64463 Curated_gene_sets:kegg_selenoamino_acid_metabolism
Curated_gene_sets:kegg_gluta...          SET      47    -0.063071   -0.0032584      0.13684      0.67756 Curated_gene_sets:kegg_glutathione_metabolism
Curated_gene_sets:kegg_starc...          SET      48   -0.0072717  -0.00037964      0.13821      0.52098 Curated_gene_sets:kegg_starch_and_sucrose_metabolism
Curated_gene_sets:kegg_n_gly...          SET      45    -0.012866  -0.00065043      0.11994      0.54271 Curated_gene_sets:kegg_n_glycan_biosynthesis
Curated_gene_sets:kegg_other...          SET      15    -0.066186   -0.0019335      0.21897      0.61877 Curated_gene_sets:kegg_other_glycan_degradation
Curated_gene_sets:kegg_o_gly...          SET      29  -0.00028004   -1.137e-05       0.1749      0.50064 Curated_gene_sets:kegg_o_glycan_biosynthesis
Curated_gene_sets:kegg_amino...1         SET      43   -0.0042331  -0.00020921      0.12419       0.5136 Curated_gene_sets:kegg_amino_sugar_and_nucleotide_sugar_metabolism
Curated_gene_sets:kegg_glyco...5         SET      19    -0.087759    -0.002885      0.19195      0.67623 Curated_gene_sets:kegg_glycosaminoglycan_degradation
Curated_gene_sets:kegg_glyco...2         SET      19      -0.1196   -0.0039317      0.18633      0.73951 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_chondroitin_sulfate
Curated_gene_sets:kegg_glyco...4         SET      15     0.060448    0.0017659      0.22309      0.39321 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_keratan_sulfate
Curated_gene_sets:kegg_glyco...3         SET      23     -0.28538    -0.010321      0.18962      0.93383 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_heparan_sulfate
Curated_gene_sets:kegg_glyce...1         SET      41      0.18121    0.0087454      0.12478     0.073232 Curated_gene_sets:kegg_glycerolipid_metabolism
Curated_gene_sets:kegg_inosi...          SET      53     -0.14636   -0.0080281      0.11729      0.89394 Curated_gene_sets:kegg_inositol_phosphate_metabolism
Curated_gene_sets:kegg_glyco...9         SET      23    -0.028353   -0.0010254      0.15802       0.5712 Curated_gene_sets:kegg_glycosylphosphatidylinositol_gpi_anchor_biosynthesis
Curated_gene_sets:kegg_glyce...2         SET      71      0.23618     0.014987      0.09893    0.0084897 Curated_gene_sets:kegg_glycerophospholipid_metabolism
Curated_gene_sets:kegg_ether...          SET      32      0.60745     0.025906      0.15986   7.2652e-05 Curated_gene_sets:kegg_ether_lipid_metabolism
Curated_gene_sets:kegg_arach...          SET      56      0.29958      0.01689      0.12359    0.0076823 Curated_gene_sets:kegg_arachidonic_acid_metabolism
Curated_gene_sets:kegg_linol...          SET      29      0.61302      0.02489      0.18061   0.00034505 Curated_gene_sets:kegg_linoleic_acid_metabolism
Curated_gene_sets:kegg_alpha...          SET      19      0.72093       0.0237      0.21308   0.00035874 Curated_gene_sets:kegg_alpha_linolenic_acid_metabolism
Curated_gene_sets:kegg_sphin...          SET      37     0.084884    0.0038921      0.14977      0.28545 Curated_gene_sets:kegg_sphingolipid_metabolism
Curated_gene_sets:kegg_glyco...8         SET      25     0.006515   0.00024564      0.19333      0.48656 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_lacto_and_neolacto_series
Curated_gene_sets:kegg_glyco...7         SET      13      0.19438    0.0052865      0.23493      0.20401 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_globo_series
Curated_gene_sets:kegg_glyco...6         SET      15       0.1594    0.0046566       0.2279      0.24215 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_ganglio_series
Curated_gene_sets:kegg_pyruv...          SET      39     -0.16127   -0.0075915      0.12012      0.91029 Curated_gene_sets:kegg_pyruvate_metabolism
Curated_gene_sets:kegg_glyox...          SET      15       0.2481    0.0072476      0.22575      0.13589 Curated_gene_sets:kegg_glyoxylate_and_dicarboxylate_metabolism
Curated_gene_sets:kegg_propa...          SET      32     0.012356   0.00052694      0.13957      0.46473 Curated_gene_sets:kegg_propanoate_metabolism
Curated_gene_sets:kegg_butan...          SET      32      0.11929    0.0050876      0.13505      0.18853 Curated_gene_sets:kegg_butanoate_metabolism
Curated_gene_sets:kegg_one_c...          SET      17      0.11794    0.0036676      0.18043      0.25667 Curated_gene_sets:kegg_one_carbon_pool_by_folate
Curated_gene_sets:kegg_ribof...          SET      14      0.07844    0.0022138       0.2327      0.36803 Curated_gene_sets:kegg_riboflavin_metabolism
Curated_gene_sets:kegg_nicot...          SET      24       0.2659    0.0098229      0.17669     0.066181 Curated_gene_sets:kegg_nicotinate_and_nicotinamide_metabolism
Curated_gene_sets:kegg_panto...          SET      15     0.014747   0.00043081       0.2369      0.47518 Curated_gene_sets:kegg_pantothenate_and_coa_biosynthesis
Curated_gene_sets:kegg_folat...          SET      11    -0.094058   -0.0023533      0.24728      0.64816 Curated_gene_sets:kegg_folate_biosynthesis
Curated_gene_sets:kegg_retin...          SET      60    -0.074112   -0.0043245       0.1373      0.70532 Curated_gene_sets:kegg_retinol_metabolism
Curated_gene_sets:kegg_porph...          SET      39    -0.055013   -0.0025896      0.15351      0.63996 Curated_gene_sets:kegg_porphyrin_and_chlorophyll_metabolism
Curated_gene_sets:kegg_terpe...          SET      15    -0.038733   -0.0011315      0.18944        0.581 Curated_gene_sets:kegg_terpenoid_backbone_biosynthesis
Curated_gene_sets:kegg_limon...          SET      10   -0.0073202  -0.00017463      0.22703      0.51286 Curated_gene_sets:kegg_limonene_and_pinene_degradation
Curated_gene_sets:kegg_nitro...          SET      21     -0.20901   -0.0072231      0.18295      0.87335 Curated_gene_sets:kegg_nitrogen_metabolism
Curated_gene_sets:kegg_sulfu...          SET      11     -0.59812    -0.014964      0.23656      0.99427 Curated_gene_sets:kegg_sulfur_metabolism
Curated_gene_sets:kegg_amino...2         SET      38    -0.052788   -0.0024528      0.13215      0.65522 Curated_gene_sets:kegg_aminoacyl_trna_biosynthesis
Curated_gene_sets:kegg_metab...          SET      69     -0.20533    -0.012845      0.13656      0.93365 Curated_gene_sets:kegg_metabolism_of_xenobiotics_by_cytochrome_p450
Curated_gene_sets:kegg_drug_...1         SET      69     -0.15351   -0.0096035       0.1312      0.87901 Curated_gene_sets:kegg_drug_metabolism_cytochrome_p450
Curated_gene_sets:kegg_drug_...2         SET      51      0.12764    0.0068685      0.13306      0.16871 Curated_gene_sets:kegg_drug_metabolism_other_enzymes
Curated_gene_sets:kegg_biosy...          SET      22    -0.011153  -0.00039451      0.18872      0.52356 Curated_gene_sets:kegg_biosynthesis_of_unsaturated_fatty_acids
Curated_gene_sets:kegg_abc_t...          SET      40     -0.28906    -0.013779      0.14281      0.97851 Curated_gene_sets:kegg_abc_transporters
Curated_gene_sets:kegg_ribos...          SET      71    -0.012584   -0.0007985      0.09748      0.55136 Curated_gene_sets:kegg_ribosome
Curated_gene_sets:kegg_rna_d...          SET      54   -0.0095742  -0.00053008      0.10539      0.53619 Curated_gene_sets:kegg_rna_degradation
Curated_gene_sets:kegg_rna_p...          SET      27     -0.10938   -0.0042855      0.15796      0.75566 Curated_gene_sets:kegg_rna_polymerase
Curated_gene_sets:kegg_basal...2         SET      29     0.097659    0.0039652      0.14664      0.25272 Curated_gene_sets:kegg_basal_transcription_factors
Curated_gene_sets:kegg_dna_r...          SET      32      0.11063    0.0047182      0.14864      0.22835 Curated_gene_sets:kegg_dna_replication
Curated_gene_sets:kegg_splic...          SET     111    -0.021725   -0.0017217     0.072916      0.61713 Curated_gene_sets:kegg_spliceosome
Curated_gene_sets:kegg_prote...1         SET      43     0.011766   0.00058152      0.11871      0.46052 Curated_gene_sets:kegg_proteasome
Curated_gene_sets:kegg_prote...2         SET      22      0.15427    0.0054566      0.16636      0.17689 Curated_gene_sets:kegg_protein_export
Curated_gene_sets:kegg_ppar_...          SET      62    0.0033229   0.00019709      0.10794      0.48772 Curated_gene_sets:kegg_ppar_signaling_pathway
Curated_gene_sets:kegg_base_...          SET      29      0.13895    0.0056417      0.16203      0.19557 Curated_gene_sets:kegg_base_excision_repair
Curated_gene_sets:kegg_nucle...          SET      38     0.041774    0.0019411      0.12368      0.36777 Curated_gene_sets:kegg_nucleotide_excision_repair
Curated_gene_sets:kegg_misma...          SET      21     -0.13348   -0.0046129       0.1602      0.79763 Curated_gene_sets:kegg_mismatch_repair
Curated_gene_sets:kegg_homol...          SET      27     -0.41783    -0.016371      0.16376      0.99463 Curated_gene_sets:kegg_homologous_recombination
Curated_gene_sets:kegg_non_h...          SET      12     0.030865   0.00080654      0.20243      0.43941 Curated_gene_sets:kegg_non_homologous_end_joining
Curated_gene_sets:kegg_mapk_...          SET     240     0.063224    0.0073403     0.057063      0.13394 Curated_gene_sets:kegg_mapk_signaling_pathway
Curated_gene_sets:kegg_erbb_...          SET      83    -0.041423    -0.002841     0.091018      0.67548 Curated_gene_sets:kegg_erbb_signaling_pathway
Curated_gene_sets:kegg_calci...          SET     159    -0.059073   -0.0055953     0.071878      0.79441 Curated_gene_sets:kegg_calcium_signaling_pathway
Curated_gene_sets:kegg_cytok...          SET     213    -0.012205   -0.0013359     0.065718      0.57366 Curated_gene_sets:kegg_cytokine_cytokine_receptor_interaction
Curated_gene_sets:kegg_chemo...          SET     166     0.092196    0.0089211      0.06824     0.088346 Curated_gene_sets:kegg_chemokine_signaling_pathway
Curated_gene_sets:kegg_phosp...          SET      75     0.070695      0.00461      0.10021      0.24026 Curated_gene_sets:kegg_phosphatidylinositol_signaling_system
Curated_gene_sets:kegg_neuro...1         SET     225     0.041303     0.004645      0.06348      0.25764 Curated_gene_sets:kegg_neuroactive_ligand_receptor_interaction
Curated_gene_sets:kegg_cell_...2         SET     112    -0.050238   -0.0039991     0.077826       0.7407 Curated_gene_sets:kegg_cell_cycle
Curated_gene_sets:kegg_oocyt...          SET     100     0.041247    0.0031036     0.081646      0.30672 Curated_gene_sets:kegg_oocyte_meiosis
Curated_gene_sets:kegg_p53_s...          SET      64   -0.0074776  -0.00045058      0.10258      0.52905 Curated_gene_sets:kegg_p53_signaling_pathway
Curated_gene_sets:kegg_ubiqu...          SET     123     0.042703    0.0035612     0.071143      0.27418 Curated_gene_sets:kegg_ubiquitin_mediated_proteolysis
Curated_gene_sets:kegg_snare...          SET      36     -0.10454   -0.0047281      0.13006      0.78922 Curated_gene_sets:kegg_snare_interactions_in_vesicular_transport
Curated_gene_sets:kegg_regul...2         SET      25      0.23284    0.0087788      0.16959      0.08489 Curated_gene_sets:kegg_regulation_of_autophagy
Curated_gene_sets:kegg_lysos...          SET     112      -0.0533   -0.0042428     0.076714       0.7564 Curated_gene_sets:kegg_lysosome
Curated_gene_sets:kegg_endoc...          SET     163    -0.044063   -0.0042253     0.067057      0.74444 Curated_gene_sets:kegg_endocytosis
Curated_gene_sets:kegg_perox...          SET      76     -0.11722   -0.0076945     0.090096      0.90337 Curated_gene_sets:kegg_peroxisome
Curated_gene_sets:kegg_mtor_...          SET      48     0.018308   0.00095581      0.12332      0.44099 Curated_gene_sets:kegg_mtor_signaling_pathway
Curated_gene_sets:kegg_apopt...          SET      75     0.079406    0.0051781     0.094678      0.20082 Curated_gene_sets:kegg_apoptosis
Curated_gene_sets:kegg_cardi...          SET      64   -0.0047484  -0.00028612      0.10601      0.51786 Curated_gene_sets:kegg_cardiac_muscle_contraction
Curated_gene_sets:kegg_vascu...          SET     110      0.17001     0.013413     0.081119     0.018057 Curated_gene_sets:kegg_vascular_smooth_muscle_contraction
Curated_gene_sets:kegg_wnt_s...          SET     137      0.12435      0.01094     0.073412     0.045152 Curated_gene_sets:kegg_wnt_signaling_pathway
Curated_gene_sets:kegg_dorso...          SET      23     -0.15647   -0.0056588      0.15226      0.84793 Curated_gene_sets:kegg_dorso_ventral_axis_formation
Curated_gene_sets:kegg_notch...          SET      45     0.012206   0.00061708      0.12723      0.46179 Curated_gene_sets:kegg_notch_signaling_pathway
Curated_gene_sets:kegg_hedge...          SET      52      0.21993      0.01195      0.12193     0.035638 Curated_gene_sets:kegg_hedgehog_signaling_pathway
Curated_gene_sets:kegg_tgf_b...          SET      82    -0.053782   -0.0036664     0.098488      0.70749 Curated_gene_sets:kegg_tgf_beta_signaling_pathway
Curated_gene_sets:kegg_axon_...          SET     120     0.032939    0.0027135     0.081187      0.34248 Curated_gene_sets:kegg_axon_guidance
Curated_gene_sets:kegg_vegf_...          SET      74      0.12313    0.0079756     0.095921     0.099645 Curated_gene_sets:kegg_vegf_signaling_pathway
Curated_gene_sets:kegg_focal...          SET     191    -0.037649   -0.0039049      0.06319      0.72435 Curated_gene_sets:kegg_focal_adhesion
Curated_gene_sets:kegg_ecm_r...          SET      81    -0.035838   -0.0024282      0.10194      0.63741 Curated_gene_sets:kegg_ecm_receptor_interaction
Curated_gene_sets:kegg_cell_...1         SET     102      0.17763     0.013498     0.091468      0.02608 Curated_gene_sets:kegg_cell_adhesion_molecules_cams
Curated_gene_sets:kegg_adher...          SET      69      0.18809     0.011766      0.10616      0.03823 Curated_gene_sets:kegg_adherens_junction
Curated_gene_sets:kegg_tight...          SET     125    -0.031034   -0.0026089     0.077456      0.65566 Curated_gene_sets:kegg_tight_junction
Curated_gene_sets:kegg_gap_j...          SET      82    -0.073857    -0.005035     0.093558      0.78506 Curated_gene_sets:kegg_gap_junction
Curated_gene_sets:kegg_compl...          SET      58     0.055202    0.0031671      0.11734      0.31902 Curated_gene_sets:kegg_complement_and_coagulation_cascades
Curated_gene_sets:kegg_antig...          SET      48     0.035713    0.0018645      0.13424      0.39511 Curated_gene_sets:kegg_antigen_processing_and_presentation
Curated_gene_sets:kegg_renin...          SET      15      0.16418    0.0047962      0.23139        0.239 Curated_gene_sets:kegg_renin_angiotensin_system
Curated_gene_sets:kegg_toll_...          SET      89    -0.085756   -0.0060893     0.094564      0.81775 Curated_gene_sets:kegg_toll_like_receptor_signaling_pathway
Curated_gene_sets:kegg_nod_l...          SET      50     -0.13523   -0.0072054      0.12327      0.86369 Curated_gene_sets:kegg_nod_like_receptor_signaling_pathway
Curated_gene_sets:kegg_rig_i...          SET      58     0.025211    0.0014464      0.11697      0.41468 Curated_gene_sets:kegg_rig_i_like_receptor_signaling_pathway
Curated_gene_sets:kegg_cytos...          SET      45    -0.032344   -0.0016351      0.12717      0.60038 Curated_gene_sets:kegg_cytosolic_dna_sensing_pathway
Curated_gene_sets:kegg_jak_s...          SET     128     0.074313    0.0063211      0.08037      0.17758 Curated_gene_sets:kegg_jak_stat_signaling_pathway
Curated_gene_sets:kegg_hemat...          SET      70     -0.14475   -0.0091202      0.10809      0.90973 Curated_gene_sets:kegg_hematopoietic_cell_lineage
Curated_gene_sets:kegg_natur...          SET     111     0.018136    0.0014372     0.086454      0.41692 Curated_gene_sets:kegg_natural_killer_cell_mediated_cytotoxicity
Curated_gene_sets:kegg_t_cel...          SET      99     -0.02269   -0.0016988     0.085627      0.60449 Curated_gene_sets:kegg_t_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_b_cel...          SET      71    0.0028163   0.00017871     0.099628      0.48872 Curated_gene_sets:kegg_b_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_fc_ep...          SET      74      0.12705      0.00823      0.10142      0.10515 Curated_gene_sets:kegg_fc_epsilon_ri_signaling_pathway
Curated_gene_sets:kegg_fc_ga...          SET      91      0.15567     0.011177     0.090276     0.042326 Curated_gene_sets:kegg_fc_gamma_r_mediated_phagocytosis
Curated_gene_sets:kegg_leuko...          SET     105     0.075515    0.0058215     0.083669      0.18339 Curated_gene_sets:kegg_leukocyte_transendothelial_migration
Curated_gene_sets:kegg_intes...          SET      26      -0.3553    -0.013661      0.17479      0.97895 Curated_gene_sets:kegg_intestinal_immune_network_for_iga_production
Curated_gene_sets:kegg_circa...          SET      12      0.11511     0.003008      0.25195      0.32388 Curated_gene_sets:kegg_circadian_rhythm_mammal
Curated_gene_sets:kegg_long_...2         SET      63    -0.055661   -0.0033278      0.10294      0.70565 Curated_gene_sets:kegg_long_term_potentiation
Curated_gene_sets:kegg_neuro...2         SET     119      0.02631    0.0021584     0.078031        0.368 Curated_gene_sets:kegg_neurotrophin_signaling_pathway
Curated_gene_sets:kegg_long_...1         SET      67      0.16259     0.010023      0.10784     0.065831 Curated_gene_sets:kegg_long_term_depression
Curated_gene_sets:kegg_olfac...          SET     220    -0.079913    -0.008888     0.071593      0.86783 Curated_gene_sets:kegg_olfactory_transduction
Curated_gene_sets:kegg_taste...          SET      36     -0.11143   -0.0050399      0.15497      0.76394 Curated_gene_sets:kegg_taste_transduction
Curated_gene_sets:kegg_regul...1         SET     194    -0.037532   -0.0039229     0.059782      0.73493 Curated_gene_sets:kegg_regulation_of_actin_cytoskeleton
Curated_gene_sets:kegg_insul...          SET     126     0.056574    0.0047748     0.071799      0.21537 Curated_gene_sets:kegg_insulin_signaling_pathway
Curated_gene_sets:kegg_gnrh_...          SET      92     0.030788    0.0022225     0.091813      0.36869 Curated_gene_sets:kegg_gnrh_signaling_pathway
Curated_gene_sets:kegg_proge...          SET      77     0.084555    0.0055866     0.090508       0.1751 Curated_gene_sets:kegg_progesterone_mediated_oocyte_maturation
Curated_gene_sets:kegg_melan...1         SET      94      0.10326    0.0075345     0.087877      0.11999 Curated_gene_sets:kegg_melanogenesis
Curated_gene_sets:kegg_adipo...          SET      60    -0.052059   -0.0030377      0.11229      0.67854 Curated_gene_sets:kegg_adipocytokine_signaling_pathway
Curated_gene_sets:kegg_type_...2         SET      43     0.047938    0.0023691      0.13637       0.3626 Curated_gene_sets:kegg_type_ii_diabetes_mellitus
Curated_gene_sets:kegg_type_...1         SET      18     -0.27115   -0.0086762      0.21396      0.89747 Curated_gene_sets:kegg_type_i_diabetes_mellitus
Curated_gene_sets:kegg_matur...          SET      22      0.12075    0.0042712       0.1927      0.26545 Curated_gene_sets:kegg_maturity_onset_diabetes_of_the_young
Curated_gene_sets:kegg_aldos...          SET      40    -0.092938   -0.0044304      0.13616      0.75256 Curated_gene_sets:kegg_aldosterone_regulated_sodium_reabsorption
Curated_gene_sets:kegg_vasop...          SET      40      0.21868     0.010424      0.12121     0.035619 Curated_gene_sets:kegg_vasopressin_regulated_water_reabsorption
Curated_gene_sets:kegg_proxi...          SET      22     -0.15102   -0.0053416      0.17333      0.80819 Curated_gene_sets:kegg_proximal_tubule_bicarbonate_reclamation
Curated_gene_sets:kegg_alzhe...          SET     143     -0.10289   -0.0092465     0.069029      0.93195 Curated_gene_sets:kegg_alzheimers_disease
Curated_gene_sets:kegg_parki...          SET     100    -0.089544   -0.0067377     0.080715      0.86636 Curated_gene_sets:kegg_parkinsons_disease
Curated_gene_sets:kegg_amyot...          SET      49     0.067736    0.0035729      0.11937       0.2852 Curated_gene_sets:kegg_amyotrophic_lateral_sclerosis_als
Curated_gene_sets:kegg_hunti...          SET     160    -0.043251   -0.0041094     0.064114      0.75003 Curated_gene_sets:kegg_huntingtons_disease
Curated_gene_sets:kegg_prion...          SET      29      0.13498    0.0054807      0.15233      0.18777 Curated_gene_sets:kegg_prion_diseases
Curated_gene_sets:kegg_vibri...          SET      49    -0.014899   -0.0007859      0.12537       0.5473 Curated_gene_sets:kegg_vibrio_cholerae_infection
Curated_gene_sets:kegg_epith...          SET      62     0.011078   0.00065703      0.10704      0.45879 Curated_gene_sets:kegg_epithelial_cell_signaling_in_helicobacter_pylori_infection
Curated_gene_sets:kegg_patho...          SET      51     0.027873    0.0014999      0.11205      0.40177 Curated_gene_sets:kegg_pathogenic_escherichia_coli_infection
Curated_gene_sets:kegg_leish...          SET      46    -0.037369     -0.00191      0.13754      0.60707 Curated_gene_sets:kegg_leishmania_infection
