annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	0	0	0	8.85553986178266e-05
UTR5	71546	0.00285251910856087	0	0	0	0.0833111910905775
downstream	284177	0.0113300579027968	0	0	0	8.79531297440855e-06
exonic	254736	0.0101562534263042	2	0.00184672206832872	0.181831034616151	0.0021407173013507
intergenic	11684523	0.465858680176655	142	0.131117266851339	0.281452879232858	1.3499133581444e-122
intronic	9137749	0.364319509570527	925	0.854108956602031	2.3443953292781	1.99429768490144e-243
ncRNA_exonic	259951	0.0103641740249561	9	0.00831024930747922	0.801824562909578	0.65108830516845
ncRNA_intronic	2884355	0.114998431126451	5	0.00461680517082179	0.0401466796163958	2.47433436545153e-49
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	0	0	0	1
upstream	266686	0.0106326966005879	0	0	0	1.879275850606e-05
