annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	9	0.00799289520426288	0.857377000289997	0.757295628886297
UTR5	71546	0.00285251910856087	9	0.00799289520426288	2.80204790925849	0.00576972820499441
downstream	284177	0.0113300579027968	9	0.00799289520426288	0.705459343000343	0.395168022400728
exonic	254736	0.0101562534263042	5	0.0044404973357016	0.437218051708017	0.0525632187808884
intergenic	11684523	0.465858680176655	80	0.0710479573712256	0.152509678137336	6.95765707229574e-188
intronic	9137749	0.364319509570527	947	0.841030195381883	2.30849617791076	1.72337839240395e-238
ncRNA_exonic	259951	0.0103641740249561	9	0.00799289520426288	0.771204264325997	0.554532862880218
ncRNA_intronic	2884355	0.114998431126451	54	0.0479573712255773	0.41702630858367	5.19423473888627e-15
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	0	0	0	1
upstream	266686	0.0106326966005879	4	0.00355239786856128	0.334101310514669	0.0131749737461747
