# ALPHA = 0.05
# NUMBER_OF_TESTS = 15481

# _SET1_  VARIABLE = GO_bp:go_neuron_projection_regeneration (set)
# _SET1_  NGENES = 54
# _SET1_  P-VALUE = 8.79651e-07
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET1_   ENSG00000142949     1   43990858   44089343    351      35  315894       4.0992   2.0725e-05
_SET1_   ENSG00000177606     1   59246465   59249785      4       2  315894      0.29547      0.38382
_SET1_   ENSG00000198799     1  113615831  113674882    160      35  315894     -0.34769      0.63596
_SET1_   ENSG00000143418     1  150933059  150947479     43      11  315894       3.5157   0.00021932
_SET1_   ENSG00000116132     1  170631869  170708560    196      46  315894      0.54279      0.29364
_SET1_   ENSG00000116147     1  175284330  175712906   1807     185  315894       2.1247     0.016807
_SET1_   ENSG00000116984     1  236958610  237067281    397      28  315894     -0.39229      0.65258
_SET1_   ENSG00000119782     2   24272571   24286551     43      15  315894       3.5075   0.00022616
_SET1_   ENSG00000071054     2  102313312  102511149    549      46  315894       4.7597   9.6945e-07
_SET1_   ENSG00000116106     2  222282747  222438922    625      61  315894       1.1861      0.11779
_SET1_   ENSG00000172037     3   49158547   49170551     26      18  315894       2.0516     0.020106
_SET1_   ENSG00000173402     3   49506146   49573048    148      24  315894       4.7889   8.3828e-07
_SET1_   ENSG00000172020     3  115342171  115440337    357      79  315894      0.32909      0.37104
_SET1_   ENSG00000189058     3  195295573  195311076    100      31  315894       1.9992     0.022793
_SET1_   ENSG00000118785     4   88896819   88904562     26      10  315894      0.18053      0.42837
_SET1_   ENSG00000016082     5   50678921   50690564     33      15  315894       6.8497   3.7005e-12
_SET1_   ENSG00000228716     5   79922047   79950802    158      11  315894       1.5085     0.065713
_SET1_   ENSG00000134986     5  110998318  111333161   1478     102  315894       2.1991     0.013937
_SET1_   ENSG00000044115     5  137946656  138270723    836      62  315894       2.9054    0.0018342
_SET1_   ENSG00000019991     7   81328322   81399754    206      30  315894      0.22672      0.41032
_SET1_   ENSG00000157764     7  140419127  140624564    543      37  315894     0.059853      0.47614
_SET1_   ENSG00000132561     8   98881068   99048944    638      66  315894     -0.09505      0.53786
_SET1_   ENSG00000096968     9    4985033    5128183    612      34  315894       2.6774    0.0037098
_SET1_   ENSG00000136826     9  110247133  110252763     15       4  315894     0.063685      0.47461
_SET1_   ENSG00000041982     9  117782806  117880536    442      58  315894       1.3671     0.085794
_SET1_   ENSG00000171862    10   89622870   89731687    417      23  315894       0.2551      0.39932
_SET1_   ENSG00000198825    10  121485609  121588652    302      24  315894      0.50119      0.30812
_SET1_   ENSG00000148926    11   10326227   10328944      5       3  315894     -0.30709      0.62061
_SET1_   ENSG00000186907    11   57228022   57245007     40      22  315894       1.6268     0.051888
_SET1_   ENSG00000242689    11   58390146   58393198      9       5  315894       0.1463      0.44184
_SET1_   ENSG00000110195    11   71900602   71907345     26      10  315894      0.02015      0.49196
_SET1_   ENSG00000118137    11  116706467  116708666     11       5  315894     -0.69568      0.75668
_SET1_   ENSG00000154096    11  119288090  119295695     27       6  315894       1.2319      0.10899
_SET1_   ENSG00000166086    11  133938820  134021896    330      30  315894       1.1129      0.13288
_SET1_   ENSG00000123384    12   57522276   57607134    213      52  315894       2.6392    0.0041552
_SET1_   ENSG00000177169    12  132379196  132407712    121      32  315894         0.15      0.44038
_SET1_   ENSG00000102572    13   99102455   99230194    518      43  315894       4.8398   6.4991e-07
_SET1_   ENSG00000169032    15   66679155   66784650    389      35  315894       1.0692      0.14249
_SET1_   ENSG00000140538    15   88418230   88799999   1361     129  315894       1.6348     0.051048
_SET1_   ENSG00000182175    15   93586636   93632433    270      48  315894       1.7069     0.043919
_SET1_   ENSG00000138834    16    1756184    1820318    227      47  315894       3.4244   0.00030803
_SET1_   ENSG00000074660    17    1537152    1549041     39      15  315894     -0.42392      0.66419
_SET1_   ENSG00000185924    17    1837971    1928639    416      66  315894       3.1303   0.00087317
_SET1_   ENSG00000166579    17    8316449    8393729    210      53  315894       3.6258   0.00014404
_SET1_   ENSG00000126861    17   29599031   29624557     47      12  315894       3.8962   4.8865e-05
_SET1_   ENSG00000030582    17   42422614   42430470     19      10  315894       2.0183     0.021778
_SET1_   ENSG00000131095    17   42982376   42994305     55      19  315894       3.9623   3.7109e-05
_SET1_   ENSG00000171791    18   60790579   60987361    762     137  315894       1.0492      0.14704
_SET1_   ENSG00000105426    19    5158506    5340814    841     128  315894       2.6365    0.0041881
_SET1_   ENSG00000105695    19   35783028   35804707     79      29  315894       1.3045     0.096026
_SET1_   ENSG00000129455    19   51499263   51505967     43       6  315894      0.50861      0.30551
_SET1_   ENSG00000040608    22   20228938   20270769    133      41  315894     -0.20102      0.57966
_SET1_   ENSG00000183762    22   29469066   29564321    395      50  315894       1.7313     0.041695
_SET1_   ENSG00000100300    22   43547520   43559248     45      11  315894      0.39553      0.34623

# _SET2_  VARIABLE = GO_bp:go_macrophage_colony_stimulating_factor_production (set)
# _SET2_  NGENES = 5
# _SET2_  P-VALUE = 2.6311e-06
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET2_   ENSG00000174059     1  208057594  208084747    118      27  315894       1.6999     0.044574
_SET2_   ENSG00000114861     3   71003844   71633140   2054     201  315894       5.9157   1.6524e-09
_SET2_   ENSG00000016082     5   50678921   50690564     33      15  315894       6.8497   3.7005e-12
_SET2_   ENSG00000145777     5  110405760  110413722     26      12  315894     -0.75244      0.77411
_SET2_   ENSG00000135077     5  156512843  156569880    282      26  315894      0.95592      0.16956

# _SET3_  VARIABLE = GO_cc:go_postsynapse (set)
# _SET3_  NGENES = 578
# _SET3_  P-VALUE = 2.4879e-08
_SET3_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET3_   ENSG00000187961     1     895967     901095     24       6  315894      0.42214      0.33646
_SET3_   ENSG00000107404     1    1270656    1284730     47      13  315894      0.87995      0.18944
_SET3_   ENSG00000187730     1    1950780    1962192     50      17  315894      0.33507      0.36878
_SET3_   ENSG00000067606     1    1981909    2116834    625      55  315894     -0.13304      0.55292
_SET3_   ENSG00000069424     1    6051526    6161253    463      76  315894     -0.37568      0.64642
_SET3_   ENSG00000171603     1    9789084    9884584    252      44  315894      0.11747      0.45324
_SET3_   ENSG00000198793     1   11166592   11322564    467      21  315894       1.1699      0.12103
_SET3_   ENSG00000116661     1   11708424   11715842     30      18  315894     -0.49891      0.69108
_SET3_   ENSG00000117154     1   18434240   18704977   1334     182  315894       1.8613     0.031351
_SET3_   ENSG00000162545     1   20808884   20812713      9       5  315894      0.52991      0.29809
_SET3_   ENSG00000189410     1   21046225   21059330     51      17  315894      0.72469      0.23432
_SET3_   ENSG00000070831     1   22379120   22419437    152      32  315894       1.1588      0.12326
_SET3_   ENSG00000173372     1   22962999   22966101     10       5  315894      0.30455      0.38035
_SET3_   ENSG00000159189     1   22970123   22974603     24       5  315894       2.0455     0.020405
_SET3_   ENSG00000173369     1   22979255   22988031     37      11  315894        3.114   0.00092288
_SET3_   ENSG00000133216     1   23037332   23241818    753     123  315894      0.96541      0.16717
_SET3_   ENSG00000117758     1   28099694   28150963     97      18  315894       1.2889     0.098715
_SET3_   ENSG00000116329     1   29138654   29190208    213      35  315894       1.6813     0.046355
_SET3_   ENSG00000159023     1   29213603   29446553    628      45  315894       2.6075    0.0045603
_SET3_   ENSG00000121905     1   33351595   33364042     29      12  315894       1.8712     0.030657
_SET3_   ENSG00000116544     1   35331037   35395186    159      60  315894       3.7123   0.00010269
_SET3_   ENSG00000163873     1   37261128   37499730    766     107  315894      -0.2483      0.59805
_SET3_   ENSG00000196517     1   44457172   44497139    130      34  315894       1.3164     0.094012
_SET3_   ENSG00000085832     1   51819935   51985000    613      30  315894    -0.076414      0.53046
_SET3_   ENSG00000157193     1   53711217   53793742    295      51  315894       5.2129   9.2936e-08
_SET3_   ENSG00000173406     1   57460451   59012406   6443     381  315894        4.647   1.6841e-06
_SET3_   ENSG00000116675     1   65713902   65881552    605      48  315894      -1.1286      0.87046
_SET3_   ENSG00000184588     1   66258197   66840259   1983     144  315894       7.6167   1.3009e-14
_SET3_   ENSG00000033122     1   70034081   70617628   2140     117  315894     -0.61613       0.7311
_SET3_   ENSG00000117519     1   95362507   95392834    151      41  315894       1.1099      0.13353
_SET3_   ENSG00000117600     1   99729509   99775146    184      39  315894     -0.37537      0.64631
_SET3_   ENSG00000099260     1  100111499  100160097    211      35  315894       1.2123      0.11269
_SET3_   ENSG00000177272     1  111214310  111217655      4       2  315894      -0.7737      0.78045
_SET3_   ENSG00000171385     1  112313284  112531777    934     132  315894      0.36962      0.35583
_SET3_   ENSG00000163399     1  116915290  116952883    100      17  315894    -0.084447      0.53365
_SET3_   ENSG00000177954     1  153963235  153964626      6       4  315894     -0.32459      0.62725
_SET3_   ENSG00000160716     1  154540257  154552502     39      21  315894       1.9977     0.022875
_SET3_   ENSG00000160753     1  155290687  155300905     20      12  315894    -0.079545       0.5317
_SET3_   ENSG00000132718     1  155829300  155854990     54      17  315894       1.2316      0.10905
_SET3_   ENSG00000116584     1  155916630  155976861    147      36  315894       1.3895     0.082342
_SET3_   ENSG00000018625     1  160085549  160113381    131      35  315894      0.58316      0.27989
_SET3_   ENSG00000072694     1  161551101  161648444    201      36  315894     0.058141      0.47682
_SET3_   ENSG00000197959     1  171810621  172387606   1911     116  315894       1.0172      0.15452
